,Sakalava (Maintirano),Betsimisaraka (Mahanoro),Antankarana (Ambilobe),Mikea (Analamena),Antankarana (Vohemar),Masikoro (Miary),Antankarana (Antalaha),Sakalava (Ambanja),Sakalava (Majunga),Merina (Antananarivo),Sakalava (Morondava),Betsimisaraka (Fenoarivo-Est),Antanosy (Tolagnaro),Antandroy (Ambovombe),Betsileo (Fianarantsoa),Vezo (Toliara),Sihanaka (Ambatondranzaka),Tsimihety (Mandritsara),Mahafaly (Ampanihy),Antambohoaka (Mananjary),Antaisaka (Vangaindrano),Antaimoro (Manakara),Zafisoro (Farafangana),Bara (Betroka)
139,miroro,mandry,matoro,,mandry,miroro,mandry,mandry,mijosy,matory,matory,mandry,matory,miroro,mandry,miroro,matory,matoro,miroro,mandry,matory,mandry,matory,matory
140,kely,bitika,hely,kelekele,hely,kelikely,hely,ely,kely,kely,keliky,hely,kely,kedekede,kely,malinike,bilitika,hely,mesay,bitika,kidy,madiniky,pitiky,kidy
141,mitsoky,tosina,maharegny,manitsike,maharegny,misintsiky,maharegny,mitrotroko,mahatsapa,mitroka,mifoko,miainy,mamofo,mitroke,mitroka,manimbo,mitroka,misintogno,misintsike,mitroka,mitsetsitry,mitsoky,maregny,mitroky
142,setroky,mifoka,setroko,setroke,setroko,setroky,hemboko,setroko,setroka,setroka,setroky,emboko,setroky,setroke,setroka,setroke,setroka,hemboko,setroke,zavogna,setroky,setroky,tesy,setroky
143,madojo,malama,madoso,madoso,malamatra,madoso,malambatra,malamatra,malamatra,malama,madoso,malamatra,malama,malama,malama,madoso,malama,malamatra,malama,malama,malama,malama,malama,malama
144,bibilava,bibilava,biby,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,bibilava,meregne,bibilava,bibilava,bibilava,bibilava,bibilava
145,lagilasy,lanezy,lanaizy,ranovory,lanaizy,ranomivaingagna,lanaizy,avandra,ranomandry,ranomandry,ranomandriky,gilasy,fanala,ranomivogagne,ranomandry,rano mivonga,anvandra,fanala,havandra,ranomandry,ranomandry,ranomangatseky,ranomandry,zavo
146,tsy maro,vitsivitsy,vitsy,tsyampeampe,tsy maro,tsy ampiampy,vitsivitsy,vitsivitsy,sasatsasany,vitsivitsy,tsy firy,vitsivitsy,tsiampiampy,kelekele,vitsivitsy,tsy ampeampe,ivitsivitsy,tsy fontry,tsy ampe,vitsivitsy,kidikidy,kelikely,kidikidy,vitsivitsy
147,mandreoky,mandreoka,mikahaka,mandrehoke,mandraora,mandrehoky,mihaka,mikahaka,mandrehoka,mandrehoka,mandrehoky,mihaka,mandrehoky,mandrehoke,mandrehoka,manjehoke,mandrora,mihaka,mandrehoke,mandrehoka,mandreoky,mandrehoky,mandoha rehoky,mandrehoky
148,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,fizarany,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,mamaky,magnilaky,mamaky,mamaky
