ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
antankaranavohemar-8_barkofatree-1,,antankaranavohemar,8_barkofatree,hoditry kakazo,hoditry kakazo,h o d i ʈ r j + k a k a z o,,Serva2011,,,^ h o d i tr y + k a k a z o $,default
masikoromiary-8_barkofatree-1,,masikoromiary,8_barkofatree,holinkazo,holinkazo,h o l i ŋ k a z o,,Serva2011,,,^ h o l i nk a z o $,default
antankaranaantalaha-8_barkofatree-1,,antankaranaantalaha,8_barkofatree,hoditry kakazo,hoditry kakazo,h o d i ʈ r j + k a k a z o,,Serva2011,,,^ h o d i tr y + k a k a z o $,default
sakalavaambanja-8_barkofatree-1,,sakalavaambanja,8_barkofatree,hoditra kakazo,hoditra kakazo,h o d i ʈ r a + k a k a z o,,Serva2011,,,^ h o d i tr a + k a k a z o $,default
sakalavamajunga-8_barkofatree-1,,sakalavamajunga,8_barkofatree,hodin kakazo,hodin kakazo,h o d i n + k a k a z o,,Serva2011,,,^ h o d i n + k a k a z o $,default
merinaantananarivo-8_barkofatree-1,,merinaantananarivo,8_barkofatree,hodikazo,hodikazo,h o d i k a z o,,Serva2011,,,^ h o d i k a z o $,default
sakalavamorondava-8_barkofatree-1,,sakalavamorondava,8_barkofatree,hodikazo,hodikazo,h o d i k a z o,,Serva2011,,,^ h o d i k a z o $,default
betsimisarakafenoarivoest-8_barkofatree-1,,betsimisarakafenoarivoest,8_barkofatree,hodikakazo,hodikakazo,h o d i k a k a z o,,Serva2011,,,^ h o d i k a k a z o $,default
antanosytolagnaro-8_barkofatree-1,,antanosytolagnaro,8_barkofatree,holikazo,holikazo,h o l i k a z o,,Serva2011,,,^ h o l i k a z o $,default
antandroyambovombe-8_barkofatree-1,,antandroyambovombe,8_barkofatree,holihatay,holihatay,h o l i h a t a j,,Serva2011,,,^ h o l i h a t a y $,default
betsileofianarantsoa-8_barkofatree-1,,betsileofianarantsoa,8_barkofatree,hodikazo,hodikazo,h o d i k a z o,,Serva2011,,,^ h o d i k a z o $,default
vezotoliara-8_barkofatree-1,,vezotoliara,8_barkofatree,holinkazo,holinkazo,h o l i ŋ k a z o,,Serva2011,,,^ h o l i nk a z o $,default
sihanakaambatondranzaka-8_barkofatree-1,,sihanakaambatondranzaka,8_barkofatree,hodi-kitay,hodi-kitay,h o d i + k i t a j,,Serva2011,,,^ h o d i - k i t a y $,default
tsimihetymandritsara-8_barkofatree-1,,tsimihetymandritsara,8_barkofatree,hodinkazo,hodinkazo,h o d i ŋ k a z o,,Serva2011,,,^ h o d i nk a z o $,default
mahafalyampanihy-8_barkofatree-1,,mahafalyampanihy,8_barkofatree,holin-katae,holin-katae,h o l i n + k a t a e,,Serva2011,,,^ h o l i n - k a t a e $,default
antambohoakamananjary-8_barkofatree-1,,antambohoakamananjary,8_barkofatree,hodina kakazo,hodina kakazo,h o d i n a + k a k a z o,,Serva2011,,,^ h o d i n a + k a k a z o $,default
antaisakavangaindrano-8_barkofatree-1,,antaisakavangaindrano,8_barkofatree,oditrazo,oditrazo,o d i ʈ r a z o,,Serva2011,,,^ o d i tr a z o $,default
